z (m),T (Â°C)
3.2502385902900244,12.888623745736787
-73.91131597585633,13.535754503653024
-15.91520788266854,13.60046757944465
-122.98597300954196,14.118172185777638
-35.188784622574815,13.988746034194392
-153.62170049184022,14.830016019485498
-179.71850585933146,15.541859853193362
-202.05896189043085,16.253703686901222
-221.5821559192363,16.965547520609082
-242.0444372821397,17.677391354316942
-264.85443698028797,18.389235188024802
-287.6644366784364,19.101079021732662
-313.2916983788788,19.812922855440522
-343.4578821941279,20.524766689148386
-373.31103689801114,21.236610522856246
-402.2251042677964,21.948454356564106
-434.1129481955587,22.660298190271966
-468.9745686812978,23.372142023979826
-503.6796746113539,24.083985857687686
-535.4800910482278,24.780895904674406
-573.5594301385153,25.50767352510341
-604.3516721764964,26.21951735881127
-629.3528756542069,26.93136119251913
-657.7973993569431,27.64320502622699
-687.1810103937773,28.35504885993485
-716.5646214306116,29.06689269364271
-744.5917729848597,29.77873652735057
-767.3496011644474,30.49058036105843
-787.3423388603018,31.20242419476629
-809.682794891401,31.91426802847415
-834.2144547020624,32.626111862182015
-857.1809689558938,33.337955695889875
-879.36491043131,34.049799529597735
-900.6097645726284,34.761643363305595
-924.6718807162408,35.473487197013455
-950.7686860837321,36.185331030721315
-976.3959477841745,36.897174864429175
-1000.9276075948358,37.609018698137035
-1023.894121848667,38.320862531844895
-1047.7997234365964,39.032706365552755
-1069.9575791527325,39.744550199260615
-1097.8021303920173,40.456394032968475
-1117.983076416231,41.07116825298891
-1152.8997695356861,41.92630532594964
-1172.3361971580991,42.59192553409207
-1202.345866417665,43.30376936779993
-1227.9731281181078,44.01561320150779
-1249.5310113707922,44.72745703521565
-1270.3063218450616,45.43930086892351
-1291.7076905420627,46.15114470263137
-1314.3611756845282,46.86298853633923
-1338.5798063838233,47.57483237004709
-1359.355116858093,48.28667620375495
-1377.1566507743853,48.99852003746281
-1394.9581846906779,49.71036387117067
-1414.4813787194832,50.42220770487853
-1436.1957765278505,51.13405153858639
-1456.188514223705,51.84589537229425
-1475.5551936968275,52.55773920600211
-1494.765358614267,53.26958303970997
-1514.0903008725404,53.98142687341783
-1535.0638631173415,54.69327070712569
-1553.8044843677321,55.40511454083355
-1573.0146492851716,56.11695837454141
-1594.5725325378557,56.82880220824927
-1616.4434449019063,57.54064604195713
-1637.3752699318586,58.25248987566499
-1657.368007627713,58.96433370937285
-1677.3607453235672,59.67617754308071
-1697.353483019422,60.38802137678857
-1716.876677048227,61.09986521049643
-1737.182443855448,61.81170904420429
-1757.018666995619,62.52355287791215
-1777.1679192471565,63.23539671162001
-1795.9085404975467,63.94724054532787
-1815.9012781934014,64.65908437903573
-1836.3635595563048,65.37092821274359
-1856.5128118078424,66.08277204645147
-1879.3228115059906,66.79461588015933
-1901.193723870041,67.50645971386719
-1924.1602381238722,68.21830354757505
-1945.0920631538247,68.93014738128291
-1965.3978299610449,69.64199121499077
-1989.9294897717064,70.35383504869863
-2018.2174989187597,71.06567888240649
-2049.166255512424,71.77752271611435
-2078.8628956606244,72.48936654982221
-2113.920159340967,73.20121038353007
-2145.6123600741253,73.91305421723793
-2176.8741457791557,74.62489805094579
-2205.631698593258,75.33674188465365
-2237.3574381597773,76.04858571836151
-2268.624813670367,76.76042955206937
-2296.1302500390057,77.47227338577723
-2322.540084517863,78.18411721948509
-2354.427928445625,78.89596105319295
-2383.0289667040447,79.60780488690081
-2405.5259372908267,80.31964872060867
-2426.4577623207792,81.03149255431653
-2450.9894221314403,81.74333638802439
-2475.2080528307356,82.45518022173225
-2506.0002948687174,83.16702405544011
-2528.1414115145653,83.71708519966892
